match_nr,player0,player1,result
0,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],0.0
1,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],1.0
2,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],-1.0
3,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],1.0
4,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],1.0
5,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],-1.0
6,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],1.0
7,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],-1.0
8,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],-1.0
9,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],-1.0
10,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],1.0
11,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],1.0
12,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],0.0
13,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],1.0
14,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],-1.0
15,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],1.0
16,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],-1.0
17,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],1.0
18,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],1.0
19,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],-1.0
20,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],1.0
21,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],-1.0
22,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],-1.0
23,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],-1.0
24,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],1.0
25,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],1.0
26,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],-1.0
27,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],1.0
28,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],1.0
29,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],1.0
30,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],-1.0
31,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],1.0
32,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],-1.0
33,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],-1.0
34,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],-1.0
35,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],-1.0
36,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],-1.0
37,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],-1.0
38,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],-1.0
39,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],-1.0
40,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],-1.0
41,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],1.0
42,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",ConfigurationMCTS[uct_c=-1],1.0
