player,avg_points,lower_bound,median,upper_bound,nr_games,c,win_rate
ConfigurationMCTS[uct_c=-1],0.4512,0.7137,0.7256,0.7373025,5000,,0.7256
"MCTS[MCTS[name=models/connect_four_long_run_checkpoint_nr_0, uct_c=0.0078125, n_sims=100, selection_fn=puct_value]",-0.508,0.211,0.246,0.281,500,0.0078125,0.246
"MCTS[MCTS[name=models/connect_four_long_run_checkpoint_nr_0, uct_c=0.015625, n_sims=100, selection_fn=puct_value]",-0.538,0.196,0.231,0.267,500,0.015625,0.23099999999999998
"MCTS[MCTS[name=models/connect_four_long_run_checkpoint_nr_0, uct_c=0.03125, n_sims=100, selection_fn=puct_value]",-0.586,0.173,0.207,0.241,500,0.03125,0.20700000000000002
"MCTS[MCTS[name=models/connect_four_long_run_checkpoint_nr_0, uct_c=0.0625, n_sims=100, selection_fn=puct_value]",-0.434,0.245,0.283,0.32,500,0.0625,0.28300000000000003
"MCTS[MCTS[name=models/connect_four_long_run_checkpoint_nr_0, uct_c=0.125, n_sims=100, selection_fn=puct_value]",-0.356,0.282,0.322,0.362,500,0.125,0.322
"MCTS[MCTS[name=models/connect_four_long_run_checkpoint_nr_0, uct_c=0.25, n_sims=100, selection_fn=puct_value]",-0.252,0.334,0.374,0.416,500,0.25,0.374
"MCTS[MCTS[name=models/connect_four_long_run_checkpoint_nr_0, uct_c=0.5, n_sims=100, selection_fn=puct_value]",-0.314,0.304,0.343,0.383,500,0.5,0.34299999999999997
"MCTS[MCTS[name=models/connect_four_long_run_checkpoint_nr_0, uct_c=1, n_sims=100, selection_fn=puct_value]",-0.488,0.22,0.256,0.295,500,1.0,0.256
"MCTS[MCTS[name=models/connect_four_long_run_checkpoint_nr_0, uct_c=2, n_sims=100, selection_fn=puct_value]",-0.56,0.18797500000000023,0.22,0.255,500,2.0,0.21999999999999997
"MCTS[MCTS[name=models/connect_four_long_run_checkpoint_nr_0, uct_c=4, n_sims=100, selection_fn=puct_value]",-0.476,0.226,0.262,0.299,500,4.0,0.262
